"","name","overall_membership","ratifications_201517","major_agreement_selection"
"Afghanistan","Afghanistan",38,11,8
"Albania","Albania",114,8,15
"Algeria","Algeria",75,4,11
"Andorra","Andorra",21,2,6
"Angola","Angola",59,15,8
"Antigua and Barbuda","Antigua and Barbuda",67,11,10
"Argentina","Argentina",97,5,12
"Armenia","Armenia",64,7,12
"Aruba","Aruba",2,0,0
"Australia","Australia",116,6,13
"Austria","Austria",117,4,15
"Azerbaijan","Azerbaijan",65,9,13
"Bahamas","Bahamas",53,6,10
"Bahrain","Bahrain",56,4,10
"Bangladesh","Bangladesh",57,4,11
"Barbados","Barbados",62,5,8
"Belarus","Belarus",54,5,9
"Belgium","Belgium",170,15,18
"Belize","Belize",63,1,8
"Benin","Benin",71,7,12
"Bhutan","Bhutan",29,4,7
"Bolivia","Plurinational State of Bolivia",57,5,9
"Bosnia and Herzegovina","Bosnia and Herzegovina",78,6,15
"Botswana","Botswana",55,10,8
"Brazil","Brazil",92,4,11
"Brunei Darussalam","Brunei Darussalam",43,7,7
"Bulgaria","Bulgaria",150,3,15
"Burkina Faso","Burkina Faso",63,12,11
"Burundi","Burundi",41,2,8
"Cape Verde","Cabo Verde",48,2,9
"Cambodia","Cambodia",62,7,11
"Cameroon","Cameroon",72,2,11
"Canada","Canada",138,8,11
"Central African Republic","Central African Republic",39,3,8
"Chad","Chad",47,7,9
"Chile","Chile",116,6,13
"China","China",89,9,10
"Colombia","Colombia",87,6,10
"Comoros","Comoros",49,5,9
"Congo, Republic of the","Congo",77,17,12
"Costa Rica","Costa Rica",86,9,11
"Cote dIvoire","Côte d'Ivoire",75,15,13
"Croatia","Croatia",125,8,16
"Cuba","Cuba",80,8,9
"Cyprus","Cyprus",119,14,15
"Czech Republic","Czech Republic",115,5,14
"Korea, Democratic Peoples Republic","Democratic People's Republic of Korea",41,4,5
"Congo, Democratic Republic of","Democratic Republic of the Congo",50,4,9
"Denmark","Denmark",199,11,18
"Djibouti","Djibouti",53,14,11
"Dominica","Dominica",43,4,8
"Dominican Republic","Dominican Republic",72,6,14
"Ecuador","Ecuador",100,10,11
"Egypt","Egypt",92,2,13
"El Salvador","El Salvador",74,7,9
"Equatorial Guinea","Equatorial Guinea",40,0,10
"Eritrea","Eritrea",29,0,7
"Estonia","Estonia",101,4,13
"Ethiopia","Ethiopia",46,5,6
"Faeroe Islands","Faeroe Islands",1,0,0
"Micronesia","Federated States of Micronesia",39,5,6
"Fiji","Fiji",70,10,12
"Finland","Finland",172,18,17
"France","France",256,14,18
"Gabon","Gabon",69,4,10
"Gambia","Gambia",54,7,11
"Georgia","Georgia",79,5,11
"Germany","Germany",126,12,8
"Ghana","Ghana",87,12,12
"Greece","Greece",114,3,14
"Greenland","Greenland",0,0,0
"Grenada","Grenada",50,5,9
"Guatemala","Guatemala",91,4,10
"Guinea","Guinea",71,7,11
"Guinea-Bissau","Guinea-Bissau",43,5,10
"Guyana","Guyana",64,9,9
"Haiti","Haiti",32,2,8
"Honduras","Honduras",74,15,10
"Hong Kong","Hong Kong",3,0,0
"Hungary","Hungary",121,8,14
"Iceland","Iceland",103,10,12
"India","India",82,5,12
"Indonesia","Indonesia",71,11,10
"Iran","Iran",68,7,8
"Iraq","Iraq",48,12,9
"Ireland","Ireland",112,5,15
"Israel","Israel",58,5,13
"Italy","Italy",183,7,17
"Jamaica","Jamaica",66,8,11
"Japan","Japan",120,10,12
"Jordan","Jordan",77,10,11
"Kazakhstan","Kazakhstan",62,9,11
"Kenya","Kenya",79,7,14
"Kiribati","Kiribati",52,5,9
"Korea, Republic of","Republic of Korea",102,9,11
"Kosovo","Kosovo",0,0,0
"Kuwait","Kuwait",60,6,10
"Kyrgyzstan","Kyrgyzstan",47,5,10
"Laos","Laos",50,5,9
"Latvia","Latvia",106,6,14
"Lebanon","Lebanon",73,9,12
"Lesotho","Lesotho",54,6,10
"Liberia","Liberia",71,9,11
"Libya","Libya",65,2,12
"Liechtenstein","Liechtenstein",63,5,9
"Lithuania","Lithuania",112,6,14
"Luxembourg","Luxembourg",134,6,13
"Macedonia","Macedonia",71,6,11
"Madagascar","Madagascar",74,14,12
"Malawi","Malawi",60,6,10
"Malaysia","Malaysia",68,6,11
"Maldives","Maldives",49,6,9
"Mali","Mali",70,7,10
"Malta","Malta",94,14,13
"Marshall Islands","Marshall Islands",59,7,9
"Mauritania","Mauritania",74,9,11
"Mauritius","Mauritius",84,8,11
"Mexico","Mexico",109,4,13
"Monaco","Monaco",94,5,15
"Mongolia","Mongolia",60,7,11
"Montenegro","Montenegro",93,11,16
"Morocco","Morocco",109,9,13
"Mozambique","Mozambique",65,5,10
"Myanmar","Myanmar",57,15,9
"Namibia","Namibia",65,10,8
"Nauru","Nauru",39,3,6
"Nepal","Nepal",38,2,9
"Netherlands","Netherlands",195,9,16
"New Zealand","New Zealand",96,10,10
"Nicaragua","Nicaragua",83,5,9
"Niger","Niger",63,11,9
"Nigeria","Nigeria",77,1,13
"Norway","Norway",206,10,15
"Oman","Oman",65,5,10
"Pakistan","Pakistan",73,6,10
"Palau","Palau",61,6,10
"Panama","Panama",106,7,10
"Papua New Guinea","Papua New Guinea",60,5,9
"Paraguay","Paraguay",57,5,9
"Peru","Peru",117,13,11
"Philippines","Philippines",77,5,10
"Poland","Poland",142,4,16
"Portugal","Portugal",150,10,18
"Qatar","Qatar",56,5,9
"Moldova","Republic of Moldova",82,7,11
"Romania","Romania",140,8,15
"Russian Federation","Russia",83,11,8
"Rwanda","Rwanda",46,6,7
"Saint Helena","Saint Helena",1,1,1
"Saint Kitts and Nevis","Saint Kitts and Nevis",59,6,10
"Saint Lucia","Saint Lucia",60,8,10
"Saint Vincent and the Grenadines","Saint Vincent and the Grenadines",58,2,8
"Samoa","Samoa",60,5,9
"San Marino","San Marino",30,3,7
"Sao Tome and Principe","Sao Tomé-Principe",40,6,10
"Saudi Arabia","Saudi Arabia",68,5,11
"Senegal","Senegal",94,8,15
"Serbia","Serbia",52,17,5
"Seychelles","Seychelles",57,8,9
"Sierra Leone","Sierra Leone",63,4,12
"Singapore","Singapore",55,8,8
"Slovakia","Slovakia",114,19,13
"Slovenia","Slovenia",145,11,16
"Solomon Islands","Solomon Islands",53,3,10
"Somalia","Somalia",29,5,7
"South Africa","South Africa",112,13,13
"South Sudan","South Sudan",12,6,5
"Spain","Spain",183,6,19
"Sri Lanka","Sri Lanka",60,5,10
"Sudan","Sudan",51,8,9
"Suriname","Suriname",56,2,10
"Swaziland","Swaziland",52,9,9
"Sweden","Sweden",186,13,15
"Switzerland","Switzerland",157,18,16
"Syria","Syrian Arab Republic",83,5,11
"Taiwan","Taiwan",4,1,0
"Tajikistan","Tajikistan",44,9,7
"Tanzania","Tanzania",68,1,11
"Thailand","Thailand",63,12,11
"Timor-Leste","Timor-Leste",24,4,6
"Togo","Togo",67,6,11
"Tonga","Tonga",61,8,10
"Trinidad and Tobago","Trinidad and Tobago",77,3,11
"Tunisia","Tunisia",91,2,12
"Turkey","Turkey",102,12,10
"Turkmenistan","Turkmenistan",37,4,6
"Tuvalu","Tuvalu",39,5,6
"Uganda","Uganda",53,5,10
"United Kingdom","UK",195,11,18
"Ukraine","Ukraine",88,10,7
"United Arab Emirates","United Arab Emirates",67,9,10
"Uruguay","Uruguay",97,8,11
"United States","USA",140,11,12
"Uzbekistan","Uzbekistan",39,2,8
"Vanuatu","Vanuatu",58,8,9
"Venezuela","Venezuela",76,4,11
"Viet Nam","Vietnam",62,13,8
"Yemen","Yemen",38,4,7
"Zambia","Zambia",52,6,8
"Zimbabwe","Zimbabwe",46,6,8
